date,headline
2025-05-31,Urgent warning to all mobile users as passwords will be DELETED from app used by millions - save them now before closure
2025-05-31,"AI agents, open standards at Build 2025"
2025-05-31,Windows 11 Notepad gains Markdown and formatting tools
2025-05-31,Microsoft Authenticator users warned to save passwords
2025-05-31,UK households who own a laptop urged to 'contact bank' in stark warning
2025-05-31,Microsoft updates Windows 11 Notepad with new text formatting options
2025-05-30,Microsoft president hails Vancouver tech scene at Web Summit
2025-05-30,Microsoft Hits Pause On First-Party Xbox Handheld To Refocus On Gaming In Windows 11
2025-05-30,This powerful Google tool is being used to hack Microsoft accounts
2025-05-30,ZeniMax QA workers win tentative union contract with Microsoft
