date,headline,sentiment,label,month
2025-06-23,Microsoft Confirms Windows 11 Automatic Deletions: Take Action Now To Protect Yourself - Forbes,0.3818,positive,2025-06
2025-06-22,"I was laid off from Microsoft after 23 years, and I'm still going into the office. I feel responsible for my team and customers. - Business Insider",0.3182,positive,2025-06
2025-06-23,Microsoft to Cut Thousands of Jobs as AI Spending Surges - Yahoo Finance,-0.2732,negative,2025-06
2025-06-23,5 must-use Microsoft Edge browser features to save time and money - Fast Company,0.4939,positive,2025-06
2025-06-23,Microsoft surprises MS-DOS fans with remake of ancient text editor that works on Linux - Ars Technica,0.2263,positive,2025-06
2025-06-23,Microsoft is changing how drivers arrive via Windows Update - XDA,0.0,neutral,2025-06
2025-06-22,Closed-Source Meets Open-Source: Microsoft’s Founder Bill Gates and Linux’s Creator Linus Torvalds Cross Paths For The First Time in 50 Years - Wccftech,0.0,neutral,2025-06
2025-06-23,"Microsoft and IBM Just Hit Fresh Highs. Both Are Still Set for AI-Driven Gains, Analysts Say - Investopedia",0.5719,positive,2025-06
2025-06-22,"Microsoft gives Israeli employees time off, while Mobileye and others rush to aid displaced workers - CTech",0.0,neutral,2025-06
2025-06-20,"American workers are stuck in an 'infinite workday,' according to Microsoft report: 'People are feeling very burnt out' - CNBC",-0.128,negative,2025-06
2025-06-22,"OpenAI makes shocking move amid fierce competition, Microsoft problems - TheStreet",-0.6597,negative,2025-06
2025-06-20,Don't forget: Microsoft is killing passwords. How to set up a Microsoft passkey before August deadline. - Mashable,-0.5767,negative,2025-06
2025-06-23,Introducing Mu language model and how it enabled the agent in Windows Settings - Windows Blog,0.0,neutral,2025-06
2025-06-23,Microsoft adds Steam games to its Xbox PC app on Windows - The Verge,0.0,neutral,2025-06
2025-06-23,Fireworks & flavors: Use AI to plan your 4th of July menu - Microsoft,0.0,neutral,2025-06
2025-06-23,Microsoft Is Ditching Passwords for Passkeys: How to Switch Before the August Deadline - CNET,0.0,neutral,2025-06
2025-06-23,Microsoft tests Xbox app with Battle.net integration — updated app brings third-party game library aggregation - Tom's Hardware,0.0,neutral,2025-06
2025-06-20,Iranian missile strikes tech park housing Microsoft office in southern Israel - CNN,-0.3612,negative,2025-06
