date,headline,sentiment,label
2025-07-07,Amazon Fire Tablets are on sale for Prime Day 2025,-0.1779,negative
2025-07-07,"If You’re a Prime Member and Coffee Lover, the Breville Espresso Machine Is Selling for Peanuts on Prime Day",0.5859,positive
2025-07-07,Honor Magic V5 Defies the Elements in Thrilling Durability Test,0.743,positive
2025-07-07,Trump Media Launches TV Streaming Platform Truth+ in Partnership With Newsmax,0.3182,positive
2025-07-07,Samsung makes One UI 8's enhanced security suite official,0.34,positive
2025-07-07,"Costco- YMMV - Samsung 49"" Ultrawide Odyssey G95C DQHD 240Hz Curved Gaming Monitor $499.97 B&M",0.0,neutral
2025-07-07,"Costco- YMMV - Samsung 49"" Ultrawide Odyssey G95C DQHD 240Hz Curved Gaming Monitor $499.97 (7 replies)",0.0,neutral
2025-07-07,Samsung’s One UI 8 Brings Powerful Quantum Security Suite,0.6369,positive
2025-07-07,"Your Privacy, Secured: Inside the Tech Powering Safe, Personalized Galaxy AI Experiences",0.6808,positive
2025-07-07,"Today’s Android app deals and freebies: The House of Da Vinci 2, Mutant Meltdown, more",0.4215,positive
2025-07-07,Samsung Introduces Future-Ready Mobile Security for Personalized AI Experiences,0.34,positive
2025-07-07,Samsung India accidentally reveals Galaxy Z Flip 7 and Fold 7 pre-reserve benefits - SamMobile,0.0516,positive
2025-07-07,The LG Evo C4 4K OLED Smart TV Has Already Gone on Sale for Amazon Prime Day,0.5267,positive
2025-07-07,Apple’s latest AirPods are already on sale for $99 before Prime Day,0.0,neutral
2025-07-07,Snag the Samsung Odyssey Ark for over 30% off at Best Buy,0.6369,positive
2025-07-07,"$899.99: 49"" Samsung Odyssey G9 G95SC DQHD OLED 240Hz 0.03ms Curved Monitor at Amazon",0.1779,positive
2025-07-07,Māori economy surges: Iwi entities lead with strong financial performance,0.5106,positive
2025-07-07,"Galaxy Z Fold 7, Z Flip 7, Z Flip 7 FE retail pages leak with full details",-0.34,negative
2025-07-07,"Galaxy Z Fold 7 and Flip 7 will indeed be the first devices to ship with Android 16, leak shows",-0.34,negative
2025-07-07,Galaxy Z Flip 7 FE Benchmark Shows Exynos Chip Performance,0.0,neutral
2025-07-07,The Best Early Prime Day Deals Hand-Picked By Our Expert Editors,0.6369,positive
