date,headline,company
2025-06-24,Microsoft Confirms Windows 11 Automatic Deletions: Take Action Now To Protect Yourself - Forbes,Microsoft
2025-06-24,ChatGPT's Enterprise Success Against Copilot Fuels OpenAI and Microsoft's Rivalry - Bloomberg.com,Microsoft
2025-06-24,"Microsoft makes Windows 10 extended security updates free, but there’s a catch - The Verge",Microsoft
2025-06-24,Microsoft’s Free Upgrade Deadline For 400 Million Windows Users - Forbes,Microsoft
2025-06-24,"Microsoft extends free Windows 10 security updates into 2026, with strings attached - Ars Technica",Microsoft
2025-06-23,Microsoft to Cut Thousands of Jobs as AI Spending Surges - Yahoo Finance,Microsoft
2025-06-24,OpenAI Is Poaching Microsoft’s Customers and Triggering an AI Turf War - TipRanks,Microsoft
2025-06-24,Microsoft Stock Carves Record High On Agentic AI Leadership - Investor's Business Daily,Microsoft
2025-06-22,"I was laid off from Microsoft after 23 years, and I'm still going into the office. I feel responsible for my team and customers. - Business Insider",Microsoft
2025-06-24,Microsoft planning “major” Xbox layoffs next week - The Verge,Microsoft
2025-06-18,Microsoft Planning Thousands More Job Cuts Aimed at Salespeople - Bloomberg.com,Microsoft
2025-06-24,"OpenAI Quietly Designed a Rival to Google Workspace, Microsoft Office - The Information",Microsoft
2025-06-23,"Microsoft and IBM Just Hit Fresh Highs. Both Are Still Set for AI-Driven Gains, Analysts Say - Investopedia",Microsoft
2025-06-23,5 must-use Microsoft Edge browser features to save time and money - Fast Company,Microsoft
2025-06-23,These 3 Microsoft Teams features are set to ship this summer — here’s why I’m excited - Windows Central,Microsoft
2025-06-24,"Microsoft's sneaky Solitaire subscription is now much, much worse - PCWorld",Microsoft
2025-06-24,Report: Microsoft is planning another round of major Xbox layoffs - Game Developer,Microsoft
2025-06-24,Microsoft Plans Major Job Cuts at Xbox Gaming Division - Bloomberg.com,Microsoft
2025-06-24,"Microsoft is named a Leader in The Forrester Wave™: Security Analytics Platforms, 2025​​ - Microsoft",Microsoft
2025-06-24,Hackers Target Over 70 Microsoft Exchange Servers to Steal Credentials via Keyloggers - The Hacker News,Microsoft
2025-06-24,Analysis: Reports of more gaming layoffs at Microsoft spark questions about future of Xbox - GeekWire,Microsoft
2025-06-24,"Microsoft Has Blocked Google Chrome, Windows 11 Users Complain - Forbes",Microsoft
2025-06-24,"Microsoft Isn’t Making Its Own VR Headset, but There Is the $400 Meta Quest 3S Xbox Edition - IGN",Microsoft
2025-06-23,Introducing Mu language model and how it enabled the agent in Windows Settings - Windows Blog,Microsoft
2025-06-24,"Windows 10 users can get extended security updates for 1,000 Microsoft Rewards points - Engadget",Microsoft
2025-06-24,Microsoft is about to retire default outbound access for VMs in Azure - theregister.com,Microsoft
2025-06-24,"Report says Microsoft is planning a ""major"" round of Xbox layoffs next week - GamesIndustry.biz",Microsoft
2025-06-24,Microsoft’s big lie: Your computer is fine (and you don’t need to buy a new one) - Technical.ly,Microsoft
2025-06-19,Microsoft advances quantum error correction with a family of novel four-dimensional codes - Microsoft Azure,Microsoft
2025-06-24,"Microsoft are reportedly set to lay off staff yet again, with ""substantial cuts"" expected at Xbox - Rock Paper Shotgun",Microsoft
2025-06-24,"AI Data Drop: What happens when you give 20,000 people Copilot - Microsoft",Microsoft
2025-06-24,Windows 10 users can get extended security updates using Microsoft points - BleepingComputer,Microsoft
2025-06-24,Microsoft fixes known issue that breaks Windows 11 updates - BleepingComputer,Microsoft
2025-06-24,150 Million Windows Users Just Got Microsoft’s Free Upgrade - Forbes,Microsoft
2025-06-24,A week in Xbox VR with Microsoft and Meta’s new $399 headset - The Verge,Microsoft
2025-06-23,Microsoft Is Ditching Passwords for Passkeys: How to Switch Before the August Deadline - CNET,Microsoft
2025-06-24,Microsoft dips its toes into VR with limited edition Xbox-themed Meta Quest headset - Eurogamer,Microsoft
2025-06-24,Microsoft is reportedly planning yet more major cuts at Xbox — as early as next week - Windows Central,Microsoft
2025-06-24,"Microsoft's 'if you can't beat them, join them' approach to the threat of Steam in the new Xbox PC app is a great idea - TechRadar",Microsoft
2025-06-24,Microsoft fixes Windows Vista boot sound bug in latest Windows 11 Insider Build — adds Recall Homepage and customizable system indicators - Tom's Hardware,Microsoft
2025-06-17,Breaking down the infinite workday - Microsoft,Microsoft
2025-06-24,"Microsoft makes Windows 10 security updates FREE for an extra year — but there's a catch, and you might not like it - Windows Central",Microsoft
2025-06-24,Microsoft to cut jobs in Xbox division as company continues reorganization - MSN,Microsoft
2025-06-24,Windows 10 users who don’t want to upgrade to Windows 11 get new lifeline from Microsoft - TechRadar,Microsoft
2025-06-24,"Circle rally falters, reported Microsoft cuts, Uber & Waymo - Yahoo Finance",Microsoft
2025-06-23,Microsoft adds Steam games to its Xbox PC app on Windows - The Verge,Microsoft
2025-06-20,Don't forget: Microsoft is killing passwords. How to set up a Microsoft passkey before August deadline. - Mashable,Microsoft
2025-06-24,Microsoft unveils limited edition Meta Quest 3S Xbox Edition VR headset - TrueAchievements,Microsoft
2025-06-24,Microsoft unveils big Windows Recall update — now showcases your most used apps and websites - Windows Central,Microsoft
2025-06-24,"After a year of waiting, Microsoft's Meta Quest 3S ""Xbox Edition"" is here — our hands-on review of this (very) limited edition partnership - Windows Central",Microsoft
2025-06-21,A $20 billion clock is ticking for OpenAI as Microsoft talks turn fractious - Yahoo Finance,Microsoft
2025-06-24,Microsoft to Let Windows 11 Users Change Position of Volume and Brightness Indicators - extremetech.com,Microsoft
2025-06-23,Microsoft surprises MS-DOS fans with remake of ancient text editor that works on Linux - Ars Technica,Microsoft
2025-06-22,Closed-Source Meets Open-Source: Microsoft’s Founder Bill Gates and Linux’s Creator Linus Torvalds Cross Paths For The First Time in 50 Years - Wccftech,Microsoft
